id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40218498,Home in Edinburgh · 2 bedrooms · 2 beds · 1 bath,12805027,Arantza,,Broughton South,55.96162,-3.18966,Entire home/apt,245,4,1,2022-04-18,0.07,1,212,0,
40588115,Condo in Edinburgh · ★4.97 · 3 bedrooms · 3 beds · 1 bath,237567928,Amy,,Dalry and Fountainbridge,55.94423,-3.21422,Entire home/apt,109,3,38,2022-07-01,1.08,1,0,8,
40223241,Rental unit in Edinburgh · 2 bedrooms · 2 beds · 1 bath,43009865,Angus,,Marchmont West,55.93794,-3.20078,Entire home/apt,184,3,2,2022-08-29,0.19,1,83,2,
40612842,Rental unit in Edinburgh · ★5.0 · 1 bedroom · 2 beds · 1 bath,8237912,Rachel,,Great Junction Street,55.97464,-3.17604,Entire home/apt,65,6,11,2021-11-12,0.26,1,0,0,
40248739,Condo in Edinburgh · ★4.97 · 2 bedrooms · 2 beds · 1 bath,59873443,Sue,,The Shore and Constitution Street,55.97521,-3.16313,Entire home/apt,57,3,32,2023-06-04,0.76,1,18,13,
40631387,Rental unit in Edinburgh · ★4.64 · 2 bedrooms · 2 beds · 1.5 baths,219466790,Michelle,,"Old Town, Princes Street and Leith Street",55.95405,-3.18708,Entire home/apt,176,2,152,2023-05-26,3.60,1,34,76,
40251816,Rental unit in Edinburgh · ★4.74 · 1 bedroom · 1 bed · 1 bath,87762710,Denise,,Stockbridge,55.9575,-3.21076,Entire home/apt,184,1,35,2023-03-26,0.81,38,24,18,
40632439,Townhouse in Edinburgh · ★4.96 · 3 bedrooms · 3 beds · 2 baths,312187436,Graeme,,Broughton North and Powderhall,55.96432,-3.20155,Entire home/apt,296,3,113,2023-06-10,2.68,1,70,43,
40275355,Rental unit in Edinburgh · ★4.73 · 2 bedrooms · 3 beds · 2 baths,37563463,Altido,,"Old Town, Princes Street and Leith Street",55.95091,-3.18518,Entire home/apt,216,2,82,2023-06-05,1.93,155,280,34,
40655985,Rental unit in Edinburgh · ★4.94 · 1 bedroom · 1 bed · 1 bath,315313607,Gerard,,Pilrig,55.96672,-3.17739,Entire home/apt,105,3,83,2023-06-07,2.10,1,26,44,
40281269,Rental unit in Edinburgh · ★4.76 · 1 bedroom · 4 beds · 1 bath,81718153,Kym,,Tollcross,55.94804,-3.21168,Entire home/apt,104,1,371,2023-05-28,8.78,1,44,140,
41237100,Rental unit in Edinburgh · ★4.76 · 2 bedrooms · 4 beds · 1 bath,323381371,Maria,,"Blackford, West Mains and Mayfield Road",55.92707,-3.17924,Entire home/apt,86,2,25,2023-05-28,0.63,1,14,13,
40674395,Rental unit in Edinburgh · 1 bedroom · 1 bed · 1 shared bath,315555869,Michael,,Comely Bank,55.95874,-3.22352,Private room,150,2,1,2019-12-31,0.02,1,259,0,
41238087,Rental unit in Edinburgh · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,288702865,Peter,,Murrayburn and Wester Hailes North,55.91581,-3.28007,Private room,40,5,17,2023-05-10,1.07,1,61,12,
40690310,Home in Edinburgh · 2 bedrooms · 3 beds · 1 bath,39591401,Ilona,,Craigmillar,55.93101,-3.13802,Entire home/apt,50,3,1,2020-01-01,0.02,1,0,0,
